publisher_loc,object_ID,year,label,title,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Islington, Metropolitan Borough of",B18248597,1859,Page 024,B18248597,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1848-1859.xml/Islington.1859.b18248597.xml/10182485900550030.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,,14,15,16,17,18,19,20,21,22,23,24,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B19883468,1871,Page 019,B19883468,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1871.b19883468.xml/10198834600500023.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Districts.,Artillery,Spitalfields,Mile End New Town,"Whitechapel, North",Whitechapel Church,Goodman's Fields,Aldgate,"Deaths from Epidemics for the corresponding Quarter, 1870.","Deaths from Epidemics for the corresponding Quarter, 1870.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,0,0,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B19883468,1871,Page 020,B19883468,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1871.b19883468.xml/10198834600710028.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Districts.,Artillery,Spitalfields,Mile End New Town,"Whitechapel, North",Whitechapel Church,Goodman's Fields,Aldgate,Totals,"Deaths from Epidemics for the corresponding Quarter, 1870.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B1988347X,1872,Page 014,B1988347X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1872.b1988347x.xml/10198834700290010.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Districts.,Artillery,Spitalfields,Mile End New Town,"Whitechapel, North",Whitechapel Church,Goodman's Fields,Aldgate,Totals,"Deaths from Epidemics for the corresponding Quarter, 1872.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B1988347X,1872,Page I,B1988347X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1872.b1988347x.xml/10198834700500020.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Districts.,Artillery,,Mile End New Town,"Whitechapel, North",Whitechapel Church,Goodman's Fields,Aldgate,Totals,"Deaths from Epidemics for the corresponding Quarter, 1871.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B19883481,1873,Page 019,B19883481,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1873.b19883481.xml/10198834800540024.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Districts.,Artillery,Spitalfields,Mile End New Town,"Whitechapel, North",Whitechapel Church,Goodman's Fields,Aldgate,Totals,"Deaths from Epidemics for the corresponding Quarter, 1872.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,0,2,0,0,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B19883493,1874,Page 014,B19883493,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1874.b19883493.xml/10198834900170005.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Districts.,,Spitalfields,Mile End New Town,"Whitechapel, North",Whitechapel Church,Goodman's Fields,,Totals,"Deaths from Epidemics for the corresponding quarter, 1873.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,0,1,0,0,1,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B19883493,1874,Page 018,B19883493,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1874.b19883493.xml/10198834900370012.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Districts.,Artillery,Spitalfields,Mile End New Town,"Whitechapel, North",Whitechapel Church,Goodman's Fields,Aldgate,Totals,"Deaths from Epidemics for the corresponding quarter, 1873.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B19883493,1874,Page 023,B19883493,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1874.b19883493.xml/10198834900620021.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Districts.,Artillery,Spitalfields,Mile End New Town,"Whitechapel, North",Whitechapel Church,Goodman's fields,Aldgate,Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B1988350X,1875,Page 017,B1988350X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1875.b1988350x.xml/10198835000160006.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Districts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B1988350X,1875,Page I,B1988350X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1875.b1988350x.xml/10198835000500019.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Districts.,,,"Whitechapel, North",Whitechapel Church,Goodman's Fields,Aldgate,Totals,"Deaths from Epidemics for the corresponding Quarter, 1874.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,0,1,4,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B1988350X,1875,Page 018,B1988350X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1875.b1988350x.xml/10198835000690024.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Districts.,,Mile End New Town,"Whiteohapel, North",Whitechapel Church,,,,"Deaths from Epidemics for the corresponding Quarter, 1874.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,1,0,0,2,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B19883511,1876,Page 019,B19883511,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1876.b19883511.xml/10198835100380015.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Districts.,Spitalfields,Mile End New Town,Whitechapel North,Whitechapel Church,Goodman's Fields,Aldgate,Totals,"Deaths from Epidemics for the corresponding Quarter, 1875.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,0,0,0,1,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B19883511,1876,Page 019,B19883511,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1876.b19883511.xml/10198835100820033.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Districts.,Spitalfields,Mile End New Town,Whitechapel North,Whitechapel Church,Goodman's Fields,Aldgate,Totals,"Deaths from Epidemics for the corresponding Quarter, 1875.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,0,0,1,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B19883523,1877,Page 025,B19883523,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1877.b19883523.xml/10198835200240009.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Districts.,Spitalfieldas,Mile End New Town,Whitechapel North,Whitechapel Church,Goodman's Fields,Aldgate,Totals,"Deaths from Epidemics for the corresponding Quarter, 1876.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B19883523,1877,Page 015,B19883523,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1877.b19883523.xml/10198835200400016.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Districts.,Spitalfields,Mile End New Town,Whiteohapel North,Whitechapel Church,Goodman's Fields,Aldgate,Totals,"Deaths from Epidemics for the corresponding Quarter, 1876.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B19883523,1877,Page 020,B19883523,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1877.b19883523.xml/10198835200610023.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub-districts.,Spitalfields,Mile End New Town,Whitechapel North,Whitechapel Church,Goodman's Fields,Aldgate,Totals,"Deaths from Epidemics for the corresponding Quarter, 1877.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B19883535,1878,Page 018,B19883535,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1878.b19883535.xml/10198835300170008.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub-districts.,Spitafields,Mile End New Town,Whitechapel North,Whitechapel Church,Goodman's Fields,Aldgate,Totals,"Deaths lrom Epidemics for the corresponding Quarter, 1877.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,0,0,I,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B19883535,1878,Page 019,B19883535,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1878.b19883535.xml/10198835300360016.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub-districts.,Spitalfields,Mile End New Town,Whitechapel North,Whitechapel Church,Goodman's Fields,Aldgate,Totals,"Deaths from Epidemics for the corresponding Quarter, 1877.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B19883535,1878,Page 032,B19883535,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1878.b19883535.xml/10198835300690026.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub-districts.,Spitalfields,Mile End New Town,Whitechapel North,Whitechapel Church,Goodman's Fields,Aldgate,Totals,"Deaths from Epidemics for the corresponding Quarter, 1877.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,2,0,0,1,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B19883547,1879,Page 015,B19883547,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1879.b19883547.xml/10198835400140008.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub-districts.,Spitalfields,Mile End New Town,Whitechapel North,Whitechapel Church,Goodman's Fields,Aldgate,Totals,"Deaths from Epidemics for the corresponding Quarter, 1878.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,1,0,0,0,0,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B19883547,1879,Page 013,B19883547,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1879.b19883547.xml/10198835400280014.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub-districts.,Spitalfields,Mile End New Town,Whitechapel North,Whitechapel Church,Goodman's Fields,Aldgate,Totals,"Deaths from Epidemics for the corresponding Quarter, 1878.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,0,0,3,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B19883547,1879,Page 013,B19883547,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1879.b19883547.xml/10198835400420019.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub-districts.,Spitalfields,Mile End New Town,Whitechapel North,Whitechapel Church,Goodman's Fields,Aldgate,Totals,"Deaths from Epidemics for the corresponding Quarter, 1878.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,2,1,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B19883547,1879,Page 016,B19883547,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1879.b19883547.xml/10198835400590026.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub-districts.,Spitalfields,Mile End New Town,Whitechapel North,Whitechapel Church,Goodman's Fields,Aldgate,Totals,"Deaths from Epidemics for the corresponding Quarter, 1878.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,1,1,0,3,1,0,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B19968334,1856-1879,Page 013,B19968334,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1879.b19968334.xml/10199683300220012.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,D-( Continued.),Date of Reports.,Page of Reports.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,„ diphtheria,",, ,,",„,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Diphtheria, why so called","April, 1858",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bermondsey (London, England)",b17997240,1882,page 017,b17997240,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1880-1889.xml/Bermondsey.1882.b17997240.xml/10179972400180004.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,Average of 10 Yrs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,7,7,3,16,3,5,9,19,13,31,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bermondsey (London, England)",b17997252,1883,page 017,b17997252,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1880-1889.xml/Bermondsey.1883.b17997252.xml/10179972500180005.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,Average of 10 Yrs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,7,3,16,3,5,9,19,13,31,9,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bermondsey (London, England)",b17997264,1884,page XXI,b17997264,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1880-1889.xml/Bermondsey.1884.b17997264.xml/10179972600220004.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,Average of 10 Yrs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,3,16,3,5,9,19,13,31,9,16,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bermondsey (London, England)",b1799729x,1886,page XVIII,b1799729x,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1880-1889.xml/Bermondsey.1886.b1799729x.xml/10179972900190005.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,Average of 10 Years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria ... ...,3,5,9,19,13,31,9,16,10,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bermondsey (London, England)",b17997306,1887,page XXI,b17997306,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1880-1889.xml/Bermondsey.1887.b17997306.xml/10179973000240005.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,Average of 10 Years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,5,9,19,13,31,9,16,10,15,12,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethnal Green,B19952739,1880,Page 010,B19952739,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1880-1889.xml/BethnalGreen.1880.b19952739.xml/10199527300160008.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Small Pox,"9.22 per cent., or 1 in 10.84 deaths.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,1.44 „ „ 69.12 „,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethnal Green,B19952739,1880,Page 063,B19952739,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1880-1889.xml/BethnalGreen.1880.b19952739.xml/10199527300730028.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DISEASE.,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,"Annual Average of 10 years, 1870—1879.","Proportion of Deaths to 1000 Deaths in 10 yrs., 1870—1879.",1880,Proportion of Deaths to 1000 Deaths in 1880.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,16,2,2,6,5,5,3,8,14,12,7.1,2.3,8,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
